title,image,prices
"1,000 Facts About Sharks",https://m.media-amazon.com/images/I/81JfQNT6BdL._AC_UY218_.jpg,"$10.70, $14.99"
Super Shark Encyclopedia: And Other Creatures of the Deep (DK Super Nature Encyclopedias),https://m.media-amazon.com/images/I/91R1BNmBFjL._AC_UY218_.jpg,"$15.79, $25.99, $10.99, $25.99"
The Ultimate Book of Sharks (National Geographic Kids),https://m.media-amazon.com/images/I/71t-Vb9M3QL._AC_UY218_.jpg,"$10.99, $19.99"
Hark! A Shark! All About Sharks (The Cat in the Hat's Learning Library),https://m.media-amazon.com/images/I/81OESvdQC0L._AC_UY218_.jpg,"$6.29, $9.99, $7.99, $9.99"
The Lives of Sharks: A Natural History of Shark Life (The Lives of the Natural World),https://m.media-amazon.com/images/I/812pQ2CC0RL._AC_UY218_.jpg,"$17.50, $35.00, $16.62, $35.00"
The Secret History of Sharks: The Rise of the Ocean's Most Fearsome Predators,https://m.media-amazon.com/images/I/81uvxGpW6ZL._AC_UY218_.jpg,"$21.49, $35.00, $0.00, $22.50, $14.99, $35.00"
The Shark Handbook: Third Edition: The Essential Guide for Understanding the Sharks of the World (Stunning Photography Of Predatory Jaws),https://m.media-amazon.com/images/I/81TEElUKDNL._AC_UY218_.jpg,"$12.39, $19.99, $4.99"
Encyclopedia Prehistorica: Sharks and Other Sea Monsters,https://m.media-amazon.com/images/I/81gJvINMg-L._AC_UY218_.jpg,"$26.28, $49.99"
"The Ultimate Shark Field Guide: The Ocean Explorer's Handbook (Facts, Illustrations, And Observations)",https://m.media-amazon.com/images/I/91U22YEmtTL._AC_UY218_.jpg,"$15.99, $19.99, $12.99"
Sharks of the World: A Complete Guide (Wild Nature Press),https://m.media-amazon.com/images/I/71FMWctInlL._AC_UY218_.jpg,"$34.99, $60.00, $33.24, $60.00"
Shark: The Illustrated Biography,https://m.media-amazon.com/images/I/716-u1qkBUL._AC_UY218_.jpg,"$29.95, $16.17, $29.95"
The Shark Handbook: Third Edition: The Essential Guide for Understanding the Sharks of the World (Stunning Photography Of Predatory Jaws),https://m.media-amazon.com/images/I/81TEElUKDNL._AC_UY218_.jpg,"$12.39, $19.99"
National Geographic Readers: Sharks! (Science Reader Level 2),https://m.media-amazon.com/images/I/81OCFEIkl4L._AC_UY218_.jpg,"$3.94, $4.99, $3.99, $14.90"
Shark: Portraits,https://m.media-amazon.com/images/I/815YrgQFq5L._AC_UY218_.jpg,
"National Geographic Kids Sharks Sticker Activity Book: Over 1,000 Stickers! (NG Sticker Activity Books)",https://m.media-amazon.com/images/I/81glPXcvaiL._AC_UY218_.jpg,"$7.19, $7.99"
"Shark Lady: The True Story of How Eugenie Clark Became the Ocean's Most Fearless Scientist (Women in Science Books, Marine Biology for Kids, Shark Gifts)",https://m.media-amazon.com/images/I/91YlQ+jVwhL._AC_UY218_.jpg,"$11.45, $18.99, $0.00, $0.00, $7.79"
My First Book of Sharks: All About the Largest Fish in the Sea for Kids,https://m.media-amazon.com/images/I/81iaaRgntVL._AC_UY218_.jpg,"$5.18, $7.99"
Sharks (Smithsonian Kids First Discovery Books),https://m.media-amazon.com/images/I/81QUoW4DUGL._AC_UY218_.jpg,"$7.99, $8.99"
"Sharks for Kids: A Junior Scientist's Guide to Great Whites, Hammerheads, and Other Sharks in the Sea",https://m.media-amazon.com/images/I/81r7QbvbcWL._AC_UY218_.jpg,"$5.69, $8.99"
Sharks!: A My Incredible World Picture Book for Children (My Incredible World: Nature and Animal Picture Books for Children),https://m.media-amazon.com/images/I/91XU78ozYRL._AC_UY218_.jpg,$0.00
